pokemon_id,move_id,move_name,learn_method,level_learned
1,14,Swords Dance,machine,0
1,22,Vine Whip,level-up,3
1,33,Tackle,level-up,1
1,34,Body Slam,machine,0
1,36,Take Down,level-up,21
1,36,Take Down,machine,0
1,38,Double Edge,machine,0
1,45,Growl,level-up,1
1,73,Leech Seed,level-up,9
1,74,Growth,level-up,6
1,75,Razor Leaf,level-up,12
1,76,Solar Beam,level-up,36
1,76,Solar Beam,machine,0
1,77,Poison Powder,level-up,15
1,79,Sleep Powder,level-up,15
1,80,Petal Dance,egg,0
1,92,Toxic,egg,0
1,92,Toxic,machine,0
1,156,Rest,machine,0
1,164,Substitute,machine,0
1,174,Curse,egg,0
1,174,Curse,machine,0
1,182,Protect,machine,0
1,188,Sludge Bomb,machine,0
1,202,Giga Drain,machine,0
1,203,Endure,machine,0
1,204,Charm,machine,0
1,206,False Swipe,machine,0
1,214,Sleep Talk,machine,0
1,230,Sweet Scent,level-up,24
1,235,Synthesis,level-up,27
1,241,Sunny Day,machine,0
1,263,Facade,machine,0
1,270,Helping Hand,machine,0
1,275,Ingrain,egg,0
1,282,Knock Off,machine,0
1,311,Weather Ball,machine,0
1,331,Bullet Seed,machine,0
1,345,Magical Leaf,machine,0
1,388,Worry Seed,level-up,30
1,402,Seed Bomb,level-up,18
1,402,Seed Bomb,machine,0
1,412,Energy Ball,machine,0
1,437,Leaf Storm,machine,0
1,438,Power Whip,level-up,33
1,447,Grass Knot,machine,0
1,474,Venoshock,machine,0
1,491,Acid Spray,machine,0
1,520,Grass Pledge,machine,0
1,580,Grassy Terrain,machine,0
1,803,Grassy Glide,machine,0
1,851,Tera Blast,machine,0
1,885,Trailblaze,machine,0
2,14,Swords Dance,machine,0
2,22,Vine Whip,level-up,1
2,33,Tackle,level-up,1
2,34,Body Slam,machine,0
2,36,Take Down,level-up,25
2,36,Take Down,machine,0
2,38,Double Edge,machine,0
2,45,Growl,level-up,1
2,46,Roar,machine,0
2,73,Leech Seed,level-up,9
2,74,Growth,level-up,1
2,75,Razor Leaf,level-up,12
2,76,Solar Beam,level-up,50
2,76,Solar Beam,machine,0
2,77,Poison Powder,level-up,15
2,79,Sleep Powder,level-up,15
2,80,Petal Dance,egg,0
2,92,Toxic,egg,0
2,92,Toxic,machine,0
2,156,Rest,machine,0
2,164,Substitute,machine,0
2,174,Curse,egg,0
2,174,Curse,machine,0
2,182,Protect,machine,0
2,188,Sludge Bomb,machine,0
2,202,Giga Drain,machine,0
2,203,Endure,machine,0
